CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CustomerID
15634602,Hargrave,619,France,Female,42,2,0.0,1,True,True,101348.88,True,15634602
15647311,Hill,608,Spain,Female,41,1,83807.86,1,False,True,112542.58,False,15647311
15619304,Onio,502,France,Female,42,8,159660.8,3,True,False,113931.57,True,15619304
15701354,Boni,699,France,Female,39,1,0.0,2,False,False,93826.63,False,15701354
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,True,True,79084.1,False,15737888
15574012,Chu,645,Spain,Male,44,8,113755.78,2,True,False,149756.71,True,15574012
15592531,Bartlett,822,France,Male,50,7,0.0,2,True,True,10062.8,False,15592531
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,True,False,119346.88,True,15656148
15792365,He,501,France,Male,44,4,142051.07,2,False,True,74940.5,False,15792365
15592389,H?,684,France,Male,27,2,134603.88,1,True,True,71725.73,False,15592389
15767821,Bearce,528,France,Male,31,6,102016.72,2,False,False,80181.12,False,15767821
15737173,Andrews,497,Spain,Male,24,3,0.0,2,True,False,76390.01,False,15737173
15632264,Kay,476,France,Female,34,10,0.0,2,True,False,26260.98,False,15632264
15691483,Chin,549,France,Female,25,5,0.0,2,False,False,190857.79,False,15691483
15600882,Scott,635,Spain,Female,35,7,0.0,2,True,True,65951.65,False,15600882
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,False,True,64327.26,False,15643966
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,True,False,5097.67,True,15737452
15788218,Henderson,549,Spain,Female,24,9,0.0,2,True,True,14406.41,False,15788218
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,False,False,158684.81,False,15661507
15568982,Hao,726,France,Female,24,6,0.0,2,True,True,54724.03,False,15568982
15577657,McDonald,732,France,Male,41,8,0.0,2,True,True,170886.17,False,15577657
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,True,False,138555.46,False,15597945
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,True,False,118913.53,True,15699309
15725737,Mosman,669,France,Male,46,3,0.0,2,False,True,8487.75,False,15725737
15625047,Yen,846,France,Female,38,5,0.0,1,True,True,187616.16,False,15625047
15738191,Maclean,577,France,Male,25,3,0.0,2,False,True,124508.29,False,15738191
15736816,Young,756,Germany,Male,36,2,136815.64,1,True,True,170041.95,False,15736816
15700772,Nebechi,571,France,Male,44,9,0.0,2,False,False,38433.35,False,15700772
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,True,True,100187.43,False,15728693
15656300,Lucciano,411,France,Male,29,0,59697.17,2,True,True,53483.21,False,15656300
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,True,False,140469.38,True,15589475
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,False,True,156731.91,False,15706552
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,False,False,81898.81,False,15750181
15659428,Maggard,520,Spain,Female,42,6,0.0,2,True,True,34410.55,False,15659428
15732963,Clements,722,Spain,Female,29,9,0.0,2,True,True,142033.07,False,15732963
15794171,Lombardo,475,France,Female,45,0,134264.04,1,True,False,27822.99,True,15794171
15788448,Watson,490,Spain,Male,31,3,145260.23,1,False,True,114066.77,False,15788448
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,False,True,98453.45,False,15729599
15717426,Armstrong,850,France,Male,36,7,0.0,1,True,True,40812.9,False,15717426
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,False,True,178074.04,False,15585768
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,True,False,70154.22,False,15619360
15738148,Clarke,465,France,Female,51,8,122522.32,1,False,False,181297.65,True,15738148
15687946,Osborne,556,France,Female,61,2,117419.35,1,True,True,94153.83,False,15687946
15755196,Lavine,834,France,Female,49,2,131394.56,1,False,False,194365.76,True,15755196
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,True,True,158338.39,False,15684171
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,True,True,126517.46,False,15754849
15602280,Martin,829,Germany,Female,27,9,112045.67,1,True,True,119708.21,True,15602280
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,True,True,117622.8,True,15771573
15766205,Yin,550,Germany,Male,38,2,103391.38,1,False,True,90878.13,False,15766205
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,True,False,194099.12,False,15771873
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,True,False,198059.16,False,15616550
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,False,False,86424.57,False,15768193
15683553,O'Brien,788,France,Female,33,5,0.0,2,False,False,116978.19,False,15683553
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,False,False,164040.94,True,15702298
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,True,False,40014.76,True,15569590
15760861,Phillipps,619,France,Male,43,1,125211.92,1,True,True,113410.49,False,15760861
15630053,Tsao,656,France,Male,45,5,127864.4,1,True,False,87107.57,False,15630053
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,False,False,45613.75,False,15647091
15623944,T'ien,511,Spain,Female,66,4,0.0,1,True,False,1643.11,True,15623944
15804771,Velazquez,614,France,Male,51,4,40685.92,1,True,True,46775.28,False,15804771
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,False,False,84509.57,False,15651280
15773469,Clark,687,Germany,Female,27,9,152328.88,2,False,False,126494.82,False,15773469
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,False,False,178798.13,False,15702014
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,True,True,99398.36,False,15751208
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,True,True,92840.67,False,15592461
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,True,True,27758.36,False,15789484
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,True,False,110431.51,False,15696061
